Date,Query,Source,Neutral Sentiment,Negative Sentiment,Positive Sentiment,Total Mentions,Day Mentions,Hour Mentions,Gender_Male,Gender_Female
2018-04-30,"(""abdul el-sayed"" OR ""abdul el sayed"") AND (province:mi)",twitter,100,0,0,10,10,0,100,0
2018-04-30,"(""bill cobbs"" OR ""william cobbs"") AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-04-30,"(""bill cobbs"" OR ""william cobbs"") AND (province:mi)",forum,100,0,0,0,0,0,0,0
2018-04-30,"(""bill cobbs"" OR ""william cobbs"") AND (province:mi)",news,100,0,0,0,0,0,0,0
2018-04-30,"(""bill cobbs"" OR ""william cobbs"") AND (province:mi)",twitter,100,0,0,0,0,0,0,0
2018-04-30,"(""birth control"" OR ((""women"" OR ""womens"" OR ""women's"" OR ""female"") AND ""health"") OR (""contraception"" AND (""cost"" OR ""coverage"" OR ""insurance""))) AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-04-30,"(""birth control"" OR ((""women"" OR ""womens"" OR ""women's"" OR ""female"") AND ""health"") OR (""contraception"" AND (""cost"" OR ""coverage"" OR ""insurance""))) AND (province:mi)",forum,100,0,0,1,1,0,0,0
2018-04-30,"(""birth control"" OR ((""women"" OR ""womens"" OR ""women's"" OR ""female"") AND ""health"") OR (""contraception"" AND (""cost"" OR ""coverage"" OR ""insurance""))) AND (province:mi)",news,100,0,0,26,26,1,0,0
2018-04-30,"(""birth control"" OR ((""women"" OR ""womens"" OR ""women's"" OR ""female"") AND ""health"") OR (""contraception"" AND (""cost"" OR ""coverage"" OR ""insurance""))) AND (province:mi)",twitter,84.66,11.93,3.41,176,176,7,54.65,45.35
2018-04-30,"(""democrats"" OR ""democrat"") AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-04-30,"(""democrats"" OR ""democrat"") AND (province:mi)",forum,100,0,0,11,11,0,0,0
2018-04-30,"(""democrats"" OR ""democrat"") AND (province:mi)",news,100,0,0,65,65,3,0,0
2018-04-30,"(""democrats"" OR ""democrat"") AND (province:mi)",twitter,72.33,23.1,4.57,3263,3263,136,50.91,49.09
2018-04-30,"(""devos"" OR ""vos"") AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-04-30,"(""devos"" OR ""vos"") AND (province:mi)",forum,100,0,0,0,0,0,0,0
2018-04-30,"(""devos"" OR ""vos"") AND (province:mi)",news,100,0,0,3,3,0,0,0
2018-04-30,"(""devos"" OR ""vos"") AND (province:mi)",twitter,82.01,13.6,4.39,228,228,10,45.45,54.55
2018-04-30,"(""elderly"" OR ""retirement"" OR ""pensions"" OR ""pension"" OR ""pension plan"") AND (province:mi)",blog,100,0,0,0,0,0,0,0
2018-04-30,"(""elderly"" OR ""retirement"" OR ""pensions"" OR ""pension"" OR ""pension plan"") AND (province:mi)",forum,100,0,0,2,2,0,0,0
