Campaign,Start,End,Reach
LCV,2018-05-11,2018-08-05,3628131
LCV,2018-05-11,2018-08-06,3628131
LCV,2018-05-12,2018-05-13,566400
LCV,2018-05-12,2018-05-14,1102848
LCV,2018-05-12,2018-05-15,1735424
LCV,2018-05-12,2018-05-16,2399236
LCV,2018-05-12,2018-05-17,2890770
LCV,2018-05-12,2018-05-18,2991136
LCV,2018-05-12,2018-05-19,3102869
LCV,2018-05-12,2018-05-20,3126596
LCV,2018-05-12,2018-05-21,3135866
LCV,2018-05-12,2018-05-22,3142862
LCV,2018-05-12,2018-05-23,3191055
LCV,2018-05-12,2018-05-24,3277068
LCV,2018-05-12,2018-05-25,3375302
LCV,2018-05-12,2018-05-26,3424738
LCV,2018-05-12,2018-05-27,3482424
LCV,2018-05-12,2018-05-28,3506446
LCV,2018-05-12,2018-05-29,3506446
LCV,2018-05-12,2018-05-30,3518607
LCV,2018-05-12,2018-05-31,3524712
LCV,2018-05-12,2018-08-03,3524712
LCV,2018-05-12,2018-08-04,3524712
LCV,2018-05-12,2018-08-05,3524712
LCV,2018-05-12,2018-08-06,3524712
LCV,2018-05-13,2018-05-13,566400
LCV,2018-05-13,2018-05-14,1102848
LCV,2018-05-13,2018-05-15,1735424
LCV,2018-05-13,2018-05-16,2399236
LCV,2018-05-13,2018-05-17,2890770
LCV,2018-05-13,2018-05-18,2991136
LCV,2018-05-13,2018-05-19,3102869
LCV,2018-05-13,2018-05-20,3126596
LCV,2018-05-13,2018-05-21,3135866
LCV,2018-05-13,2018-05-22,3142862
LCV,2018-05-13,2018-05-23,3191055
LCV,2018-05-13,2018-05-24,3277068
LCV,2018-05-13,2018-05-25,3375302
LCV,2018-05-13,2018-05-26,3424738
LCV,2018-05-13,2018-05-27,3482424
LCV,2018-05-13,2018-05-28,3506446
LCV,2018-05-13,2018-05-29,3506446
LCV,2018-05-13,2018-05-30,3518607
LCV,2018-05-13,2018-05-31,3524712
LCV,2018-05-13,2018-08-03,3524712
LCV,2018-05-13,2018-08-04,3524712
LCV,2018-05-13,2018-08-05,3524712
