Date,Category ,Summary,Link 
2018-05-31,Progress Michigan ,"Michigan may be the hardest hit were a “trade war” between the US and China to erupt. A research analyst at the Brookings Institution in Washington stated this week - more than 91,000 Michigan jobs in industries, including auto-making, plastic product manufacturing and pharmaceuticals, could be lost if China were to stand by a tax threat made in April. On Tuesday, Trump said he is considering a 25% tariff on $50 billion worth of Chinese imports. ",https://www.freep.com/story/news/local/michigan/2018/05/30/chinese-trade-war-michigan-trump/654952002/
2018-05-31,Progress Michigan ,"During a visit from Betsy DeVos to a Grand Rapids public school on Tuesday, a student wore a transgender pride flag to deliver a message on protecting LGBTQ rights in schools. In 2017, DeVoc rescinded protections enacted under Obama allowing transgender studnets to use the school bathrooms that matched their gender identity. ",https://www.bustle.com/p/this-michigan-student-wore-a-transgender-pride-flag-to-meet-betsy-devos-it-sent-a-pointed-message-9249347
2018-05-31,LCV ,"Study released this week (""Canada's Profits, Michigans Risk"") shows that other existing pipelines in North America could sufficiently supply Michigan with oil if Line 5 is shut down. ",http://michiganradio.org/post/new-report-highlights-risks-enbridge-line-5-pipeline
2018-06-01,Progress Michigan ,"An employee of Progress Michigan has filed a lawsuit against Schuette, alleging the gubernatorial candidate has violated the state constitution and civil service rules by using his office for political patronage and his state employees for campaign purposes. A key accusation is that  Schuette loaded his taxpayer-funded office with Republican campaign activists in the run-up to his 2018 gubernatorial bid.",https://www.freep.com/story/news/local/michigan/2018/05/31/bill-schuette-lawsuit-campaign-governor/659001002/
2018-06-01,Michigan Gubernatorial Race,"Debate: Whitmer
-blasted Schuette for fighting a right-to-literacy lawsuit in court
-has a $3 billion plan to ""fix the damn roads,"" the money could come from approved bonding or tax raises 
-supported graduated income tax
-criticized current government for Flint and allowing Nestle to pump Michigan water 
-to bolster education on the state, need to stop redistributing money from School Aid Fund ","https://www.detroitnews.com/story/news/local/michigan/2018/05/31/michigan-governor-debate-mackinac-conference/661520002/

https://www.freep.com/story/news/local/michigan/2018/05/31/michigan-governors-debate/659011002/"
2018-06-01,Michigan Gubernatorial Race,"Debate: Schuette
-called Whitmer's plans for more taxes an ""economic collapse plan""
-supports repealing the state's wage law as part of a plan to fix infrastructure (use savings from not having to pay union wages)
-wants to rollback of the state income tax hike, from 4.25% to 3.9%
-frequently touted his supported from Trump 
-called for a review of the Michigan Department of Transportation
-expressed support for Medicaid work requirement 
-supports cutting auto insurance rates, claiming will help stimulate the economy","https://www.detroitnews.com/story/news/local/michigan/2018/05/31/michigan-governor-debate-mackinac-conference/661520002/

https://www.freep.com/story/news/local/michigan/2018/05/31/michigan-governors-debate/659011002/"
2018-06-01,Michigan Gubernatorial Race,"Debate
Some other key points from debate: 
-El-Sayed criticized the many lobbyists in the room, saying they paid off politicians to keep their taxes low
-Colbeck attacked El-Sayed again using islamophobic rhetoric 
-Calley calls education his ""number one priority""
-Flint was a recurring theme with El-Sayed and Thanedar using it as a symbol for the breakdown of trust in government",https://www.bridgemi.com/public-sector/flint-islam-and-fixing-damn-roads-your-michigan-governor-debate-recap
2018-06-01,Progress Michigan ,"More than 100 low-income voters went ahead with a protest yesterday outside Schuette's office. The group was protesting Schuette's campaign pledges to cut Michigan's Medicaid expansion. The cuts could affect nearly 700,000 people in Michigan who rely on Medicaid. ",https://www.wzzm13.com/article/news/local/michigan/low-income-workers-protest-bill-schuettes-opposition-to-medicaid/69-560488640
2018-06-04,Michigan Gubernatorial Race,"Dem: Thanedar
On Friday, the Michigan Board of State Canvassers rejected El-Sayed's challenge to Thanedar's voting signatures. El-Sayed had filed a grievance claiming that Thanedar's petition signatures contained a number of errors. ",https://www.freep.com/story/news/politics/2018/06/01/shri-thanedar-michigan-governor/663909002/
2018-06-04,Progress Michigan ,"New laws went into effect Friday that are aimed at reducing patient's risk of opioid addiction. Prescribers of drugs like Vicodin and morphine are now required to educate patients on the risks of addiction, and patients must sign a form saying they've been informed. They're also required to check a patients prescription history, meaning longer wait times. ",https://www.detroitnews.com/story/news/local/michigan/2018/05/31/new-michigan-opioid-laws/659603002/
