Date,Query,postdate,Content,Estimated Retweets in MI,Source
2018-06-06,"((""road"" OR ""roads"" OR ""highway"" OR ""highways"" OR ""bridge"" OR ""bridges"" OR ""hydro"" OR ""pipeline"") AND (""safety"" OR ""infrastructure"" OR ""crumbling"" OR ""disrepair"" OR ""construction""))",2018-06-06T09:23:18-04:00,The Wilson Road construction uncovered some animal bone! It looks like it could be cow so far! #WeDigMSU‚Ä¶ https://t.co/CvBIWdlBmc,2,http://twitter.com/capmsu/statuses/1004353034531557376
2018-06-06,"((""road"" OR ""roads"" OR ""highway"" OR ""highways"" OR ""bridge"" OR ""bridges"" OR ""hydro"" OR ""pipeline"") AND (""safety"" OR ""infrastructure"" OR ""crumbling"" OR ""disrepair"" OR ""construction""))",2018-06-06T09:23:18-04:00,The Wilson Road construction uncovered some animal bone! It looks like it could be cow so far! #WeDigMSU‚Ä¶ https://t.co/CvBIWdlBmc,2,http://twitter.com/capmsu/statuses/1004353034531557376
2018-06-06,"""bill schuette""",2018-06-06T09:43:24-04:00,"""As is well-documented, Schuette and DeVos are far right wing, anti-immigrant, teacher union busting proponents of‚Ä¶ https://t.co/MR32C6Y6aI",8,http://twitter.com/JenGranholm/statuses/1004358095169097728
2018-06-06,"""planned parenthood""",2018-06-06T09:44:07-04:00,"How did this Ì†ΩÌ±á 85 year old manage to win again?Ì†ΩÌ∏û

This is an utter LIE.

Planned Parenthood does NOT provide basic‚Ä¶ https://t.co/luXV74jO2P",5,http://twitter.com/HLAurora63/statuses/1004358274639126529
2018-06-06,"((""abortion"" AND ""rights"") OR ""pro-choice"" OR ""pro choice"" OR ""abortion debate"" OR ""title X"" OR ""title-X"")",2018-06-06T09:44:07-04:00,"How did this Ì†ΩÌ±á 85 year old manage to win again?Ì†ΩÌ∏û

This is an utter LIE.

Planned Parenthood does NOT provide basic‚Ä¶ https://t.co/luXV74jO2P",5,http://twitter.com/HLAurora63/statuses/1004358274639126529
2018-06-06,"(""birth control"" OR ((""women"" OR ""womens"" OR ""women%27s"" OR ""female"") AND ""health"") OR (""contraception"" AND (""cost"" OR ""coverage"" OR ""insurance"")))",2018-06-06T09:44:07-04:00,"How did this Ì†ΩÌ±á 85 year old manage to win again?Ì†ΩÌ∏û

This is an utter LIE.

Planned Parenthood does NOT provide basic‚Ä¶ https://t.co/luXV74jO2P",5,http://twitter.com/HLAurora63/statuses/1004358274639126529
2018-06-06,"((""abortion"" AND ""rights"") OR ""pro-choice"" OR ""pro choice"" OR ""abortion debate"" OR ""title X"" OR ""title-X"")",2018-06-06T09:44:07-04:00,"How did this Ì†ΩÌ±á 85 year old manage to win again?Ì†ΩÌ∏û

This is an utter LIE.

Planned Parenthood does NOT provide basic‚Ä¶ https://t.co/luXV74jO2P",5,http://twitter.com/HLAurora63/statuses/1004358274639126529
2018-06-06,"(""birth control"" OR ((""women"" OR ""womens"" OR ""women%27s"" OR ""female"") AND ""health"") OR (""contraception"" AND (""cost"" OR ""coverage"" OR ""insurance"")))",2018-06-06T09:44:07-04:00,"How did this Ì†ΩÌ±á 85 year old manage to win again?Ì†ΩÌ∏û

This is an utter LIE.

Planned Parenthood does NOT provide basic‚Ä¶ https://t.co/luXV74jO2P",5,http://twitter.com/HLAurora63/statuses/1004358274639126529
2018-06-06,"((""marijuana"" OR ""weed"") AND (""legal"" OR ""legalize"" OR ""legalization""))",2018-06-06T09:58:42-04:00,Michigan Voters Will Vote on Marijuana Legalization in November. https://t.co/tBMdMsmsYs https://t.co/UY4wFLmZel,6,http://twitter.com/HIGH_TIMES_Mag/statuses/1004361943468204032
2018-06-06,"((""marijuana"" OR ""weed"") AND (""legal"" OR ""legalize"" OR ""legalization""))",2018-06-06T09:58:42-04:00,Michigan Voters Will Vote on Marijuana Legalization in November. https://t.co/tBMdMsmsYs https://t.co/UY4wFLmZel,6,http://twitter.com/HIGH_TIMES_Mag/statuses/1004361943468204032
2018-06-06,"(""right to life"" OR ""pro-life"" OR ""pro life"" OR (""aborton"" AND ""murder""))",2018-06-06T10:03:14-04:00,Reflections 14 years later on the passing of pro-life President Reagan   https://t.co/mihWPNTVTW #ProLifePresident‚Ä¶ https://t.co/cnOpUM6Vfq,2,http://twitter.com/nrlc/statuses/1004363084293660672
2018-06-06,"(""right to life"" OR ""pro-life"" OR ""pro life"" OR (""aborton"" AND ""murder""))",2018-06-06T10:03:14-04:00,Reflections 14 years later on the passing of pro-life President Reagan   https://t.co/mihWPNTVTW #ProLifePresident‚Ä¶ https://t.co/cnOpUM6Vfq,2,http://twitter.com/nrlc/statuses/1004363084293660672
2018-06-06,"(""republicans"" OR ""republican"")",2018-06-06T10:04:29-04:00,Many more Republican voters showed up yesterday than the Fake News thought possible. The political pundits just don‚Ä¶ https://t.co/MuYzDbTwbo,106,http://twitter.com/realDonaldTrump/statuses/1004363400674234368
2018-06-06,"((""abortion"" AND ""rights"") OR ""pro-choice"" OR ""pro choice"" OR ""abortion debate"" OR ""title X"" OR ""title-X"")",2018-06-06T10:14:15-04:00,.@HHSgov @SecAzar doesn‚Äôt like gag rules when it comes to drug pricing but wants to gag Title X ‚Äî the nation‚Äôs prog‚Ä¶ https://t.co/E8hnAShfTf,3,http://twitter.com/PPact/statuses/1004365860197281792
2018-06-06,"((""abortion"" AND ""rights"") OR ""pro-choice"" OR ""pro choice"" OR ""abortion debate"" OR ""title X"" OR ""title-X"")",2018-06-06T10:14:15-04:00,.@HHSgov @SecAzar doesn‚Äôt like gag rules when it comes to drug pricing but wants to gag Title X ‚Äî the nation‚Äôs prog‚Ä¶ https://t.co/E8hnAShfTf,3,http://twitter.com/PPact/statuses/1004365860197281792
2018-06-06,"((""republican"" AND ""view"" AND ""education"") OR (""demographic"" AND ""view"" AND ""education"") OR (""tuition"" AND ""fees"") OR ((""schools"" OR ""school"") AND (""choice"" OR ""charter"")) OR ""education system"" OR ""K-12"" OR ""K12"")",2018-06-06T10:40:26-04:00,Why are tuition fees so high? https://t.co/Zig0LGyji6,4,http://twitter.com/OrwellNGoode/statuses/1004372448454856704
2018-06-06,"((""republican"" AND ""view"" AND ""education"") OR (""demographic"" AND ""view"" AND ""education"") OR (""tuition"" AND ""fees"") OR ((""schools"" OR ""school"") AND (""choice"" OR ""charter"")) OR ""education system"" OR ""K-12"" OR ""K12"")",2018-06-06T10:40:26-04:00,Why are tuition fees so high? https://t.co/Zig0LGyji6,4,http://twitter.com/OrwellNGoode/statuses/1004372448454856704
2018-06-06,"((""republican"" AND ""view"" AND ""education"") OR (""demographic"" AND ""view"" AND ""education"") OR (""tuition"" AND ""fees"") OR ((""schools"" OR ""school"") AND (""choice"" OR ""charter"")) OR ""education system"" OR ""K-12"" OR ""K12"")",2018-06-06T11:00:06-04:00,Ted Director Roger Curtis (@mirogerc): House Appropriations Committee action puts state another step closer to clos‚Ä¶ https://t.co/BtrSH7P4Da,3,http://twitter.com/DanSOlsen/statuses/1004377395875467265
2018-06-06,"((""republican"" AND ""view"" AND ""education"") OR (""demographic"" AND ""view"" AND ""education"") OR (""tuition"" AND ""fees"") OR ((""schools"" OR ""school"") AND (""choice"" OR ""charter"")) OR ""education system"" OR ""K-12"" OR ""K12"")",2018-06-06T11:00:06-04:00,Ted Director Roger Curtis (@mirogerc): House Appropriations Committee action puts state another step closer to clos‚Ä¶ https://t.co/BtrSH7P4Da,3,http://twitter.com/DanSOlsen/statuses/1004377395875467265
2018-06-06,"((""air"" AND (""clean"" OR ""quality"" OR ""pollution"" OR ""smoke"" OR ""smog"")) OR ""asthma"" OR ""incinerator"" OR ""emissions"" OR ""greenhouse emissions"" OR (""detroit"" AND ""incinerator""))",2018-06-06T11:02:13-04:00,"some fast facts:
‚Ä¢ Animal ag accounts for more CO2 emissions than all transportation combined
‚Ä¢ 2016 was the warmes‚Ä¶ https://t.co/PmI0eYF9Ul",3,http://twitter.com/TyraTheTaurus/statuses/1004377929839570945
2018-06-06,"((""air"" AND (""clean"" OR ""quality"" OR ""pollution"" OR ""smoke"" OR ""smog"")) OR ""asthma"" OR ""incinerator"" OR ""emissions"" OR ""greenhouse emissions"" OR (""detroit"" AND ""incinerator""))",2018-06-06T11:02:13-04:00,"some fast facts:
‚Ä¢ Animal ag accounts for more CO2 emissions than all transportation combined
‚Ä¢ 2016 was the warmes‚Ä¶ https://t.co/PmI0eYF9Ul",3,http://twitter.com/TyraTheTaurus/statuses/1004377929839570945
2018-06-06,"(""equality"" OR ""racism"" OR ((""human"" OR ""civil"") AND ""rights"") OR ""islamophobia"" OR ""immigration"")",2018-06-06T11:08:57-04:00,"Women‚Äôs rights are human rights  
Women‚Äôs rights are human rights 
Women‚Äôs rights are human rights 
Women‚Äôs rights‚Ä¶ https://t.co/Ip7JFeiIO8",346,http://twitter.com/davidhogg111/statuses/1004379623877169152
2018-06-06,"(""equality"" OR ""racism"" OR ((""human"" OR ""civil"") AND ""rights"") OR ""islamophobia"" OR ""immigration"")",2018-06-06T11:08:57-04:00,"Women‚Äôs rights are human rights  
Women‚Äôs rights are human rights 
Women‚Äôs rights are human rights 
Women‚Äôs rights‚Ä¶ https://t.co/Ip7JFeiIO8",346,http://twitter.com/davidhogg111/statuses/1004379623877169152
2018-06-06,"""bill schuette""",2018-06-06T11:24:15-04:00,Bill Schuette has gotten attention from Republicans in DC for going along with Donald Trump and Mike Pence‚Äôs disast‚Ä¶ https://t.co/fNBKOmZ3lr,7,http://twitter.com/MichiganDems/statuses/1004383474948636679
2018-06-06,"""bill schuette""",2018-06-06T11:28:37-04:00,"Prevailing wage already a big campaign issue for Michigan carpenters union, which endorsed Snyder in 2010 but backi‚Ä¶ https://t.co/HZbuB2pvbx",5,http://twitter.com/jonathanoosting/statuses/1004384571578814464
2018-06-06,"((""flint"" AND ""water"") OR (""lead"" AND (""pipes"" OR ""poisoning"")))",2018-06-06T11:41:37-04:00,FLINT MICHIGAN HAS NOT HAD CLEAN WATER IN OVER 4 YEARS!! @LittleMissFlint is a 10year old GODDESS that is helping h‚Ä¶ https://t.co/eKVtJtAJLM,6,http://twitter.com/lexxiemorgen/statuses/1004387844318728193
2018-06-06,"((""flint"" AND ""water"") OR (""lead"" AND (""pipes"" OR ""poisoning"")))",2018-06-06T11:41:37-04:00,FLINT MICHIGAN HAS NOT HAD CLEAN WATER IN OVER 4 YEARS!! @LittleMissFlint is a 10year old GODDESS that is helping h‚Ä¶ https://t.co/eKVtJtAJLM,6,http://twitter.com/lexxiemorgen/statuses/1004387844318728193
2018-06-06,"(""environmental"" OR ""global warming"" OR ""pollution"" OR (""environmental"" AND (""laws"" OR ""regulations"" OR ""issues"")))",2018-06-06T12:00:11-04:00,The Government Accountability Office has agreed to Sen. Tom Udall‚Äôs request to examine the legality of this politic‚Ä¶ https://t.co/6HvgNRIeou,4,http://twitter.com/kylegriffin1/statuses/1004392518488862720
2018-06-06,"(""environmental"" OR ""global warming"" OR ""pollution"" OR (""environmental"" AND (""laws"" OR ""regulations"" OR ""issues"")))",2018-06-06T12:00:11-04:00,The Government Accountability Office has agreed to Sen. Tom Udall‚Äôs request to examine the legality of this politic‚Ä¶ https://t.co/6HvgNRIeou,4,http://twitter.com/kylegriffin1/statuses/1004392518488862720
2018-06-06,"((""clean"" AND ""water"") OR ((""enbridge"" OR (""line"" AND ""5"") OR ""mackinac"" OR ""oil"" OR ""leak"" OR ""leaks"") AND (""pipeline"" OR ""tunnel"")) OR (""oil"" AND (""spills"" OR ""spill"" OR ""slick"")) OR (""water"" AND ""pollution"") OR ""mercury"" OR ""arsenic"")",2018-06-06T12:04:03-04:00,Scott Pruitt Claims Misappropriated EPA Funds Would Have Only Been Wasted On Dumb Shit Like Clean Water‚Ä¶ https://t.co/PCON6vhOBO,13,http://twitter.com/TheOnion/statuses/1004393491827486720
